Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Labels,Component,Story Points,Acceptance Criteria
Epic,Knowledgebase & Canned Responses,,REQ-11: Knowledgebase & Canned Responses,"Replicate FAQ system with hierarchical categories and canned response library. Source: include/class.faq.php, include/class.category.php, include/class.canned.php",Medium,"mosticket,modernization",Knowledge-Base,,
Story,,Knowledgebase & Canned Responses,REQ-11.1: FAQ System,"Category: Hierarchical via category_pid, with ispublic flag.
FAQ: Linked to a category. Visibility levels: Private (0), Public (1), Featured (2). Supports rich text answers, file attachments, keywords, and help topic linking via FaqTopic. Multi-language support via CustomDataTranslation. PDF export via FAQ::printPdf() using mPDF.

Source: include/class.faq.php lines 19-63, include/class.category.php lines 17-35",Medium,"mosticket,modernization",Knowledge-Base,8,"- FAQ Category supports hierarchical parent/child structure
- ispublic flag controls portal visibility
- FAQ articles have Private, Public, and Featured visibility levels
- Rich text answers with file attachments are supported
- Keywords field enables search indexing
- FaqTopic links FAQs to help topics for contextual display
- PDF export generates a formatted document
- FAQ CRUD works via admin UI with category tree navigation"
Story,,Knowledgebase & Canned Responses,REQ-11.2: Canned Responses,"Canned object with: title, response (rich text), dept_id (0 = all departments), isenabled, file attachments (type 'C'). Department-filtered visibility for agents. Integrated into ticket filter actions. Cannot be deleted if linked to active filters.

Source: include/class.canned.php lines 18-48, 199-201",Medium,"mosticket,modernization",Knowledge-Base,5,"- Canned response object with title, rich text body, and department filter
- dept_id=0 makes the response available to all departments
- Agents see only canned responses for their department or global ones
- File attachments can be associated with canned responses
- Canned responses are selectable from the ticket reply form
- Deletion is blocked if the response is referenced by an active filter
- Canned response CRUD works via admin UI"
Epic,Custom Queues & Advanced Search,,REQ-12: Custom Queues & Advanced Search,"Replicate osTicket's configurable queue system and full-text search. Source: include/class.queue.php, include/class.search.php",Medium,"mosticket,modernization",UI,,
Story,,Custom Queues & Advanced Search,REQ-12.1: Queue System,"CustomQueue model with hierarchical parent/child structure. Supports inheritance flags:
- FLAG_INHERIT_CRITERIA (0x0008)
- FLAG_INHERIT_COLUMNS (0x0010)
- FLAG_INHERIT_SORTING (0x0020)

Each queue has configurable columns (QueueColumn with annotations and conditional formatting), sort orders, and filter criteria.

Source: include/class.queue.php lines 18-64",Medium,"mosticket,modernization",UI,8,"- CustomQueue object supports parent/child hierarchy
- Inheritance flags allow child queues to inherit criteria, columns, and sorting
- Queue columns are configurable with annotations and conditional formatting
- Sort orders are configurable per queue
- Filter criteria narrow the ticket set displayed
- Queue list view renders matching tickets with configured columns
- Admin UI supports queue builder with live preview
- Default queues (Open, Closed, Overdue, My Tickets) are seeded on install"
Story,,Custom Queues & Advanced Search,REQ-12.2: Advanced Search,"AdhocSearch for one-off searches (session-stored, not persisted). SavedSearch for persistent agent-specific searches. Both use the same criteria to QuerySet mangle pipeline. Supports full-text keyword search with relevance scoring.

Source: include/class.search.php lines 82-195",Medium,"mosticket,modernization",UI,8,"- Adhoc search allows agents to build criteria and see results immediately
- Saved searches persist across sessions per agent
- Full-text search indexes ticket subject, body, and custom fields
- Relevance scoring ranks results by match quality
- Search supports combining multiple criteria (date range, status, department, etc.)
- Search results render in the standard queue column format
- Search performance returns results within 3 seconds for 100K tickets"
Epic,File Attachments,,REQ-13: File Attachments,"Replicate content-addressable file storage with deduplication and secure access URLs. Source: include/class.file.php",Medium,"mosticket,modernization",Data-Model,,
Story,,File Attachments,REQ-13.1: Content-Addressable Storage,"AttachmentFile uses SHA1 hash (key) for deduplication. Multiple Attachment records can reference the same file. Storage backends are pluggable (Database default, Filesystem, S3 via plugin).

Source: include/class.file.php lines 45-47, 130-131",Medium,"mosticket,modernization",Data-Model,8,"- Files are stored with SHA1 hash key for deduplication
- Uploading a duplicate file reuses the existing storage record
- Attachment junction links files to parent objects (thread entries, FAQ, canned, etc.)
- Salesforce Files (ContentVersion/ContentDocumentLink) is the primary storage backend
- File upload respects size and type restrictions from configuration
- Orphaned files (no attachment references) are cleaned up by scheduled job
- File integrity can be verified by recomputing the SHA1 hash"
Story,,File Attachments,REQ-13.2: Secure File Access,"File URLs use HMAC-SHA1 signature + expiration timestamp. Optional auth requirement for file access (isAuthRequiredForFiles()).

Source: include/class.file.php lines 234-260",Medium,"mosticket,modernization",Security,5,"- File download URLs include HMAC-SHA1 signature and expiration timestamp
- Expired URLs return 403 Forbidden
- Tampered URLs return 403 Forbidden
- isAuthRequiredForFiles() setting enforces login before file download
- Signed URLs are generated per-request with configurable TTL
- File access respects ticket-level permissions (only participants can access)"
Epic,Client Portal,,REQ-14: Client Portal,"Replicate osTicket's end-user portal: ticket submission, listing, viewing, guest access. Build on Salesforce Experience Cloud. Source: open.php, include/client/",High,"mosticket,modernization",UI,,
Story,,Client Portal,REQ-14.1: Ticket Submission,"open.php renders TicketForm with dynamic fields, CAPTCHA validation, and calls Ticket::create() with source='Web'.

Source: open.php lines 17-61",High,"mosticket,modernization",UI,8,"- Client portal displays ticket submission form with configured dynamic fields
- CAPTCHA validation prevents automated spam submissions
- Ticket is created with source='Web' on successful submission
- Required field validation prevents submission with missing data
- Success page displays the new ticket number and confirmation
- Help topic selection dynamically loads topic-specific form fields
- File upload is supported during submission
- Error messages are clear and user-friendly"
Story,,Client Portal,REQ-14.2: Ticket Listing & Viewing,"Authenticated clients see:
- Their own tickets (user_id match)
- Tickets where they are a collaborator
- Organization tickets (if org sharing enabled)

Thread rendering uses MODE_CLIENT to hide internal notes. Custom field display filtered by FLAG_CLIENT_VIEW.

Source: include/client/tickets.inc.php lines 75-95, include/client/view.inc.php lines 1-150",High,"mosticket,modernization",UI,8,"- Authenticated clients see their own tickets in a list view
- Collaborator tickets appear in the client's ticket list
- Organization ticket sharing (if enabled) shows org-wide tickets
- Internal notes (type N) are never displayed to clients
- Custom fields respect FLAG_CLIENT_VIEW visibility
- Client can reply to tickets from the detail view
- Pagination works for clients with many tickets
- Ticket status and last update are visible in the list"
Story,,Client Portal,REQ-14.3: Guest Access,"Users without accounts access tickets via email+ticket number or secure auth token links.

Source: include/class.client.php lines 24-84",Medium,"mosticket,modernization",Security,5,"- Guest access form accepts email + ticket number combination
- Valid combination grants read/reply access to the specific ticket
- Invalid combination returns a generic error (no information leak)
- Auth token links from emails grant direct access without form
- Guest session is limited to the specific ticket only
- Guest can reply and upload attachments to their ticket"
Epic,Dashboard & Reporting,,REQ-15: Dashboard & Reporting,"Replicate osTicket's overview reports, agent performance metrics, and CSV/PDF export. Source: include/class.report.php, include/class.export.php",Medium,"mosticket,modernization",Reporting,,
Story,,Dashboard & Reporting,REQ-15.1: Overview Reports,"OverviewReport aggregates from thread_event table. Metrics: tickets created, closed, reopened, assigned, overdue, transferred - grouped by date, department, help topic, or agent. Performance metrics: average service time (creation-to-close), average response time (message-to-response).

Source: include/class.report.php lines 85-182",Medium,"mosticket,modernization",Reporting,8,"- Dashboard displays ticket volume metrics (created, closed, reopened, assigned, overdue, transferred)
- Grouping by date range, department, help topic, and agent is supported
- Average service time (creation-to-close) is calculated correctly
- Average response time (message-to-response) is calculated correctly
- Date range filter allows custom start/end dates
- Charts/graphs visualize trends over time
- Report data refreshes without full page reload
- Reports handle 100K+ tickets without timeout"
Story,,Dashboard & Reporting,REQ-15.2: Export,"CSV export via Export::dumpTickets() with UTF-8 BOM for Excel compatibility. Includes custom field data. PDF export via Ticket2PDF using mPDF. Session-based query persistence ensures export matches the current UI view.

Source: include/class.export.php lines 43-117",Medium,"mosticket,modernization",Reporting,5,"- CSV export includes UTF-8 BOM for Excel compatibility
- Exported data includes all standard and custom fields
- PDF export generates formatted ticket detail documents
- Export matches the current view/filter (session-based query persistence)
- Export handles 50K+ tickets without timeout
- Export file is downloaded via the browser
- Column headers match the displayed queue columns"
Epic,REST API,,REQ-16: REST API,"Replicate osTicket's REST API for ticket creation, email processing, and cron execution. Source: api/http.php, include/class.api.php",High,"mosticket,modernization",API,,
Story,,REST API,REQ-16.1: Endpoints,"Endpoints:
- POST /api/tickets.json - Create ticket from JSON
- POST /api/tickets.xml - Create ticket from XML
- POST /api/tickets.email - Create ticket from raw email MIME
- POST /api/tasks/cron - Trigger cron tasks

Authentication via X-API-Key header validated against API_KEY_TABLE with IP whitelist check.

Source: api/http.php lines 1-30, include/class.api.php lines 192-215",High,"mosticket,modernization",API,8,"- POST /api/tickets.json creates a ticket from JSON payload
- POST /api/tickets.xml creates a ticket from XML payload
- POST /api/tickets.email creates a ticket from raw MIME email
- POST /api/tasks/cron triggers scheduled cron tasks
- X-API-Key header authentication is enforced on all endpoints
- IP whitelist check rejects requests from unauthorized IPs
- Invalid API key returns 401 Unauthorized
- Successful ticket creation returns ticket ID and number
- Malformed payloads return 400 Bad Request with error details"
Story,,REST API,REQ-16.2: API Key Management,"API keys have: key (string), ipaddr (IP whitelist), isactive, can_create_tickets, can_exec_cron permission flags.

Source: include/class.api.php lines 68-114",Medium,"mosticket,modernization",API,3,"- API key object with key, IP whitelist, and permission flags
- can_create_tickets controls ticket creation endpoint access
- can_exec_cron controls cron trigger endpoint access
- Inactive keys are rejected immediately
- API key CRUD works via admin UI
- IP whitelist supports CIDR notation and multiple IPs
- API key is generated as a secure random string"
Epic,Plugin Framework,,REQ-17: Plugin / Extension Framework,"Replicate osTicket's multi-instance plugin architecture with lifecycle hooks and configuration. Source: include/class.plugin.php",Low,"mosticket,modernization",Data-Model,,
Story,,Plugin Framework,REQ-17.1: Plugin Architecture,"Plugins support multi-instance: one installed plugin can have N PluginInstance records, each with its own config and active/inactive state. Lifecycle hooks: install(), init() (every request), bootstrap() (per active instance), uninstall(). Configuration via PluginConfig using the Form API.

Source: include/class.plugin.php lines 188-207, 10-15",Low,"mosticket,modernization",Data-Model,13,"- Plugin framework supports installing, activating, and deactivating plugins
- Multi-instance: one plugin can have N independent instances with separate config
- Lifecycle hooks (install, init, bootstrap, uninstall) fire at correct times
- Plugin configuration uses the dynamic forms API
- Admin UI lists installed plugins with enable/disable toggles per instance
- Uninstall cleans up plugin data and configuration
- Plugins can register signal handlers for extensibility"
Epic,Agent Interface,,REQ-18: Agent Interface (Staff Control Panel),"Replicate osTicket's agent UI: ticket locking, auto-claim, and assignment workflows. Source: include/class.ticket.php, include/class.dept.php",High,"mosticket,modernization",UI,,
Story,,Agent Interface,REQ-18.1: Ticket Locking,"When an agent views/replies, a Lock is acquired to prevent collision. Other agents see a blocked reply area if another agent holds a valid lock.

Source: include/class.ticket.php lines 54-57",Medium,"mosticket,modernization",UI,5,"- Viewing/replying acquires a lock record for the agent
- Other agents see a ""locked by [agent]"" indicator on the ticket
- Locked ticket's reply area is disabled for other agents
- Locks expire after configurable timeout (default 2 minutes of inactivity)
- Agent can explicitly release their lock
- Lock acquisition and release are atomic operations
- Lock holder name is displayed to blocked agents"
Story,,Agent Interface,REQ-18.2: Auto-Claim,"If enabled per department (FLAG_DISABLE_AUTO_CLAIM is NOT set), the first agent to reply is automatically assigned to the ticket.

Source: include/class.dept.php lines 73-74",Medium,"mosticket,modernization",Automation,3,"- First agent reply auto-assigns the ticket when department allows auto-claim
- FLAG_DISABLE_AUTO_CLAIM on the department prevents auto-assignment
- Auto-claim fires an assignment event in the audit trail
- Auto-claim does not override an existing assignment
- Auto-claim setting is configurable per department via admin UI"
Story,,Agent Interface,REQ-18.3: Agent Assignment,"Tickets can be assigned to a specific Staff or Team. Assignment form provides filtered dropdowns based on department membership restrictions (FLAG_ASSIGN_MEMBERS_ONLY).

Source: include/class.ticket.php lines 1000-1020",Medium,"mosticket,modernization",UI,5,"- Assignment form shows staff and team dropdowns
- FLAG_ASSIGN_MEMBERS_ONLY restricts dropdown to department members
- Assignment fires an assigned event in the audit trail
- Assigned agent receives an assignment notification
- Reassignment updates the ticket and fires a new event
- Assignment requires PERM_ASSIGN permission
- Assignment comment/note is optional"
Epic,System Configuration,,REQ-19: System Configuration,"Replicate osTicket's global settings as Salesforce Custom Settings or Custom Metadata. Source: include/class.config.php",Medium,"mosticket,modernization",Data-Model,,
Story,,System Configuration,REQ-19.1: Global Settings,"Key config values from OsticketConfig:
- helpdesk_title, helpdesk_url, default_dept_id, default_sla_id, default_ticket_status_id
- max_open_tickets (per user), max_page_size, overdue_grace_period
- Alert toggles: ticket_alert_active, message_alert_active, assigned_alert_active with per-recipient controls
- Auto-responder toggles per event type
- date_formats, default_timezone

Source: include/class.config.php lines 461-479",Medium,"mosticket,modernization",Data-Model,8,"- All global settings are stored as Custom Settings or Custom Metadata
- Settings are editable via admin UI organized by category
- Default department, SLA, and status are selectable from lookups
- max_open_tickets enforces per-user ticket creation limit
- Alert toggles independently control each notification type
- Auto-responder toggles control automatic email replies per event
- Date format and timezone settings affect all date displays
- Settings changes take effect immediately without restart"
Epic,Data Migration,,REQ-20: Data Migration,"Extract all data from osTicket MySQL and migrate to Salesforce MosTicket objects with ID crosswalk and validation. Source: bootstrap.php, setup/inc/streams/core/install-mysql.sql",High,"mosticket,modernization",Migration,,
Story,,Data Migration,REQ-20.1: Source Schema,"The osTicket MySQL schema uses prefixed tables (default ost_). Key tables: ost_ticket, ost_thread, ost_thread_entry, ost_thread_event, ost_thread_collaborator, ost_thread_referral, ost_ticket__cdata, ost_department, ost_staff, ost_team, ost_team_member, ost_user, ost_user_email, ost_organization, ost_sla, ost_help_topic, ost_filter, ost_filter_rule, ost_filter_action, ost_faq, ost_faq_category, ost_faq_topic, ost_canned_response, ost_email_template, ost_email_template_group, ost_config, ost_form, ost_form_field, ost_form_entry, ost_form_entry_values, ost_file, ost_file_chunk, ost_attachment, ost_queue, ost_api_key, ost_plugin, ost_plugin_instance, ost_schedule, ost_schedule_entry.

Source: bootstrap.php lines 72-169, setup/inc/streams/core/install-mysql.sql lines 99-171",High,"mosticket,modernization",Migration,5,"- Source schema documentation covers all ost_ tables
- Each table's columns, keys, and relationships are documented
- Table prefix configuration is accounted for
- Schema extraction script connects to MySQL and dumps DDL
- Documentation is version-matched to the deployed osTicket version"
Story,,Data Migration,REQ-20.2: Migration Requirements,"Requirements:
- Extract all data from MySQL tables listed in REQ-20.1
- Map osTicket IDs to Salesforce IDs with a crosswalk table
- Migrate file attachments from ost_file + ost_file_chunk to Salesforce Files (ContentVersion/ContentDocumentLink)
- Preserve thread chronology (entries + events interleaved by timestamp)
- Validate: ticket counts, thread entry counts, user counts, attachment integrity",High,"mosticket,modernization",Migration,21,"- ETL pipeline extracts all data from every ost_ table
- Crosswalk table maps every osTicket ID to its Salesforce ID
- File attachments are migrated to ContentVersion with ContentDocumentLink references
- Thread entries and events maintain correct chronological order by timestamp
- Post-migration validation compares counts: tickets, entries, users, attachments
- Attachment integrity is verified by SHA1 hash comparison
- Migration supports incremental runs for delta sync
- Rollback procedure exists to revert a failed migration batch
- Migration completes within 8 hours for 500K tickets"
Epic,Staff & Agent Administration,,REQ-21: Staff & Agent Administration,"Replicate osTicket's staff management: agent profiles, preferences, department access, and directory. Source: include/class.staff.php",High,"mosticket,modernization",Admin,,
Story,,Staff & Agent Administration,REQ-21.1: Staff Object,"Staff model with fields: username, firstname, lastname, email, phone, mobile, dept_id (primary department), role_id (primary role), isactive, isadmin, isvisible, onvacation, max_page_size, auto_refresh_rate, default_signature_type, default_paper_size, permissions JSON, notes.

Source: include/class.staff.php lines 28-60",High,"mosticket,modernization",Admin,8,"- Staff custom object with all specified fields exists
- Primary department and role lookups are functional
- isadmin grants full system access
- isactive toggle controls login ability
- onvacation flag excludes agent from auto-assignment
- Staff CRUD works via admin UI
- Staff list supports search, filter, and pagination
- Deactivating staff does not delete their ticket history"
Story,,Staff & Agent Administration,REQ-21.2: Department Access,"StaffDeptAccess junction links Staff + Department + Role, allowing an agent to have different permissions in different departments.

Source: include/class.staff.php joins, include/class.role.php",High,"mosticket,modernization",Admin,5,"- StaffDeptAccess junction object links Staff, Department, and Role
- An agent can be granted access to multiple departments with different roles
- Primary department access uses the staff's primary role
- Extended department access uses the role specified in the junction
- Department access is editable via the staff profile admin page
- Removing department access immediately revokes visibility of that dept's tickets"
Story,,Staff & Agent Administration,REQ-21.3: Agent Preferences & Profile,"Agents can configure: default signature, auto-refresh rate, max page size, default paper size, timezone, language, 2FA settings. Profile edit via scp/profile.php.

Source: include/staff/profile.inc.php, include/staff/settings-agents.inc.php",Medium,"mosticket,modernization",Admin,5,"- Agents can edit their own profile (name, email, phone, signature)
- Preferences include auto-refresh rate, page size, timezone, language
- Default signature is selectable (personal, department, or none)
- Profile changes take effect immediately
- Admin can enforce certain preference defaults
- Password change requires current password verification"
Story,,Staff & Agent Administration,REQ-21.4: Password Management,"Password hashing via bcrypt (class.passwd.php), password reset flow with email token, configurable password policy (length, complexity, expiration).

Source: include/class.passwd.php, scp/pwreset.php",Medium,"mosticket,modernization",Security,5,"- Passwords are hashed with bcrypt before storage
- Password reset generates a time-limited email token
- Reset token expires after configurable duration (default 2 hours)
- Password policy enforces minimum length and complexity
- Password expiration forces reset after configurable days
- Failed reset attempts are rate-limited
- Password history prevents reuse of recent passwords"
Story,,Staff & Agent Administration,REQ-21.5: Agent Directory,"Staff directory shows active agents with department, contact info, and availability. Visibility controlled by PERM_STAFF permission.

Source: scp/directory.php, include/staff/directory.inc.php",Low,"mosticket,modernization",Admin,3,"- Directory lists active agents with name, department, and contact info
- Vacation status is visible in the directory
- Directory is only visible to agents with PERM_STAFF permission
- Search and filter by department, name, or status
- Directory respects agent visibility (isvisible) flag"
Epic,Role & Permission Management,,REQ-22: Role & Permission Management,"Replicate osTicket's role system with granular permissions for ticket, task, knowledgebase, and admin actions. Source: include/class.role.php",High,"mosticket,modernization",Security,,
Story,,Role & Permission Management,REQ-22.1: Role Object,"Role model with name, permissions (stored as JSON or bitmask), flags (FLAG_ENABLED), notes, created/updated timestamps. Permissions span ticket actions, task actions, KB actions, and admin actions.

Source: include/class.role.php lines 19-55",High,"mosticket,modernization",Security,5,"- Role object with name, permissions set, enabled flag, and notes
- Permissions cover all ticket, task, KB, and admin action categories
- Roles can be enabled/disabled without deletion
- Default roles are seeded on install (All Access, Expanded, Limited)
- Role CRUD works via admin UI
- Deleting a role requires reassigning affected staff to another role"
Story,,Role & Permission Management,REQ-22.2: Permission Matrix UI,"Admin interface for viewing and editing the full permission grid: rows = roles, columns = individual permissions grouped by category.

Source: include/staff/role.inc.php, include/staff/roles.inc.php",Medium,"mosticket,modernization",Security,5,"- Admin UI displays a permission matrix with checkboxes
- Permissions are grouped by category (Tickets, Tasks, KB, Admin)
- Changes are saved atomically (all or nothing)
- Permission changes take effect on next request (no logout required)
- Comparison view shows differences between two roles
- Bulk enable/disable permissions per category is supported"
Epic,Email Account Administration,,REQ-23: Email Account Administration,"Replicate osTicket's email account management: IMAP/POP3/SMTP configuration, OAuth2 integration, and diagnostic tools. Source: include/class.email.php, include/class.oauth2.php",High,"mosticket,modernization",Email,,
Story,,Email Account Administration,REQ-23.1: Email Account Object,"Email model with: name, email address, IMAP/POP3 host/port/protocol/encryption, SMTP host/port/encryption, authentication credentials, fetch frequency, post-fetch action (mark read/archive/delete), dept_id, priority_id, topic_id for default routing.

Source: include/class.email.php lines 20-75",High,"mosticket,modernization",Email,8,"- Email account object with all IMAP/POP3 and SMTP configuration fields
- Department, priority, and topic defaults for incoming tickets are configurable
- Fetch frequency is configurable per account (minutes)
- Post-fetch action (mark read, archive, delete) is selectable
- Credentials are stored encrypted
- Multiple email accounts are supported simultaneously
- Email account CRUD works via admin UI
- Test connection button verifies IMAP and SMTP connectivity"
Story,,Email Account Administration,REQ-23.2: OAuth2 Email Integration,"OAuth2 authentication for IMAP/SMTP supporting Microsoft 365 and Google Workspace. Token refresh is automatic.

Source: include/class.oauth2.php",Medium,"mosticket,modernization",Email,8,"- OAuth2 flow for Microsoft 365 (Azure AD) is supported
- OAuth2 flow for Google Workspace is supported
- Access token refresh is automatic before expiration
- OAuth2 setup wizard guides admin through client ID/secret configuration
- Fallback to username/password auth when OAuth2 is not configured
- Token storage is encrypted
- Failed token refresh triggers admin alert"
Story,,Email Account Administration,REQ-23.3: Email Diagnostics,"Email test/diagnostic tool to send test emails and verify IMAP/SMTP connectivity. Banlist management.

Source: scp/emailtest.php, scp/banlist.php",Low,"mosticket,modernization",Email,3,"- Send test email button dispatches a test message via configured SMTP
- IMAP connectivity test reports success/failure with error details
- Diagnostic log shows recent fetch activity and errors
- Banlist management UI supports add, remove, and search operations"
Epic,Scheduled Jobs & Cron,,REQ-24: Scheduled Jobs & Cron System,"Replicate osTicket's background job processing for email fetching, overdue checks, log purging, and maintenance. Source: include/class.cron.php",High,"mosticket,modernization",Automation,,
Story,,Scheduled Jobs & Cron,REQ-24.1: Cron Job Framework,"Cron class dispatches: MailFetcher, TicketMonitor (overdue check + lock cleanup), PurgeLogs, PurgeDrafts, CleanOrphanedFiles, CleanExpiredSessions, CleanPwResets.

Source: include/class.cron.php lines 24-70",High,"mosticket,modernization",Automation,8,"- Scheduled Apex or equivalent runs all cron jobs on configurable intervals
- MailFetcher polls configured email accounts
- TicketMonitor checks overdue and cleans expired locks
- PurgeLogs removes old system log entries based on retention setting
- PurgeDrafts cleans abandoned draft records
- CleanOrphanedFiles removes files with no attachment references
- CleanExpiredSessions removes stale session records
- Each job logs execution time and result
- Job failures do not block other jobs from running"
Story,,Scheduled Jobs & Cron,REQ-24.2: Auto-Cron (Piggyback),"When external cron is not available, osTicket piggybacks on page requests via autocron.php to trigger background tasks.

Source: scp/autocron.php",Low,"mosticket,modernization",Automation,3,"- Auto-cron triggers background tasks on agent page requests when external cron is unavailable
- Execution is throttled to prevent running on every request
- Auto-cron does not noticeably delay the page response
- Admin can toggle auto-cron on/off
- Auto-cron is automatically disabled when external cron is active"
Epic,System Logging & Audit,,REQ-25: System Logging & Audit,"Replicate osTicket's system logging, audit trail, and log management. Source: include/class.log.php, scp/logs.php, scp/audits.php",Medium,"mosticket,modernization",Reporting,,
Story,,System Logging & Audit,REQ-25.1: System Log,"Log class records system events with: log_type (Debug/Warning/Error), title, log text, ip_address, created timestamp. Viewable via admin panel.

Source: include/class.log.php, scp/logs.php",Medium,"mosticket,modernization",Reporting,5,"- System log captures Debug, Warning, and Error events
- Each log entry records type, title, message, IP address, and timestamp
- Admin UI displays logs with filtering by type and date range
- Log search supports keyword matching in title and message
- Log entries are paginated for performance
- Logs cannot be edited (append-only)"
Story,,System Logging & Audit,REQ-25.2: Audit Trail,"Audit log tracks admin actions: configuration changes, user/staff CRUD, department changes, permission modifications.

Source: scp/audits.php",Medium,"mosticket,modernization",Reporting,5,"- All admin configuration changes are logged with before/after values
- Staff CRUD operations are logged with actor and timestamp
- Department, role, and permission changes are logged
- Audit entries are immutable and cannot be deleted by non-superadmin
- Audit log supports date range and actor filtering
- Audit data is exportable to CSV"
Story,,System Logging & Audit,REQ-25.3: Log Retention & Purge,"Configurable log retention period with automatic purge via cron. PurgeLogs() runs daily.

Source: include/class.cron.php PurgeLogs()",Low,"mosticket,modernization",Reporting,2,"- Log retention period is configurable (default 30 days)
- Automatic purge removes logs older than retention period
- Purge runs as part of scheduled cron jobs
- Purge does not affect audit trail entries (separate retention)
- Admin can trigger manual purge via UI"
Epic,Content Pages & Branding,,REQ-26: Content Pages & Site Customization,"Replicate osTicket's custom content pages, company branding, and portal customization. Source: include/class.page.php, include/class.company.php",Medium,"mosticket,modernization",UI,,
Story,,Content Pages & Branding,REQ-26.1: Custom Pages,"Page model supports named content pages: Landing, Offline, Thank You, and custom pages linked to help topics. Pages support rich text, file attachments, and multi-language translations.

Source: include/class.page.php lines 17-40, scp/pages.php",Medium,"mosticket,modernization",UI,5,"- Page object with name, type, rich text body, and attachment support
- System pages (Landing, Offline, Thank You) are seeded on install
- Custom pages can be linked to help topics
- Multi-language translations are supported via CustomDataTranslation
- Pages render with viewable images (inline attachments resolved)
- Page CRUD works via admin UI with rich text editor
- Pages are accessible via slug-based URLs in the client portal"
Story,,Content Pages & Branding,REQ-26.2: Company & Branding,"Company model stores: name, address, phone, website, logo. Used in email templates, portal header, and PDF exports.

Source: include/class.company.php",Medium,"mosticket,modernization",UI,3,"- Company information is editable via admin settings
- Company name appears in portal header and email templates
- Logo upload is supported and displays in portal and emails
- Company address and phone appear in portal footer
- Branding changes take effect immediately without deployment"
Epic,Internationalization & Localization,,REQ-27: Internationalization & Localization,"Replicate osTicket's i18n framework: language packs, data translations, timezone handling. Source: include/class.i18n.php, include/class.translation.php",Medium,"mosticket,modernization",UI,,
Story,,Internationalization & Localization,REQ-27.1: Language Packs,"Internationalization class loads language packs from I18N_DIR. Each pack contains YAML data files for seeding default data (SLAs, departments, forms, etc.) and .mo/.po translation files for UI strings.

Source: include/class.i18n.php lines 22-55",Medium,"mosticket,modernization",UI,8,"- Language pack framework loads translations from configured directory
- Default data (SLAs, departments, forms) is seedable per language
- UI strings support gettext-style translation
- Primary language is configurable via admin settings
- Language selection falls back to en_US when translation is missing
- Adding a new language pack does not require code changes"
Story,,Internationalization & Localization,REQ-27.2: Custom Data Translations,"CustomDataTranslation stores per-record translations for pages, FAQ articles, form labels, and list items. Keyed by translate tag, language code, and type.

Source: include/class.translation.php",Medium,"mosticket,modernization",UI,5,"- Per-record translations are stored for pages, FAQs, form labels, and list items
- Translations are keyed by object tag, language, and type
- Admin UI provides translation editor per translatable record
- Client portal renders content in the user's language when translation exists
- Missing translations fall back to the primary language
- Bulk translation export/import is supported"
Story,,Internationalization & Localization,REQ-27.3: Timezone Handling,"System default timezone configurable globally. Agents and clients can override with personal timezone preference. All dates displayed in the viewer's timezone.

Source: include/class.timezone.php, include/class.config.php",Low,"mosticket,modernization",UI,3,"- System default timezone is configurable via admin settings
- Agents can set a personal timezone override in their profile
- Client portal respects the client's timezone when available
- All dates are stored in UTC and displayed in the viewer's timezone
- Date picker components respect the active timezone"
Epic,Custom Lists & Data Types,,REQ-28: Custom Lists & Data Types,"Replicate osTicket's custom list framework for dropdown/typeahead fields. Source: include/class.list.php",Medium,"mosticket,modernization",Data-Model,,
Story,,Custom Lists & Data Types,REQ-28.1: Custom List Object,"DynamicList model with: name, plural name, sort mode, and custom properties form. Items have: value, abbreviation, sort order, enabled flag, internal flag. Items support custom property values.

Source: include/class.list.php lines 30-60",Medium,"mosticket,modernization",Data-Model,5,"- DynamicList object with name, plural name, and sort mode
- List items have value, abbreviation, sort order, enabled, and internal flags
- Items support custom properties defined by the list's configuration form
- Lists are usable as field sources in dynamic forms (dropdowns, typeaheads)
- Item ordering respects the configured sort mode
- Admin UI supports list and item CRUD with inline editing"
Story,,Custom Lists & Data Types,REQ-28.2: List Integration with Forms,"Custom lists integrate with DynamicFormField as selection sources. Supports dropdown rendering, typeahead search, and dependency chains between fields.

Source: include/class.forms.php, include/class.dynamic_forms.php",Medium,"mosticket,modernization",Data-Model,5,"- Dynamic form fields can reference a custom list as their data source
- Dropdown fields render all enabled list items
- Typeahead fields search list items by value and abbreviation
- Field dependency chains filter child list based on parent selection
- Disabled list items are hidden from selection but preserved on existing records
- List item properties are accessible from the form answer"
Epic,Sequences & Auto-Numbering,,REQ-29: Sequences & Auto-Numbering,"Replicate osTicket's sequence generator for ticket numbers and task numbers. Source: include/class.sequence.php",Low,"mosticket,modernization",Data-Model,,
Story,,Sequences & Auto-Numbering,REQ-29.1: Sequence Object,"Sequence model with: name, next value, increment, padding character, flags (FLAG_INTERNAL). Supports formatted output with zero-padding and prefix/suffix patterns.

Source: include/class.sequence.php lines 5-80",Low,"mosticket,modernization",Data-Model,3,"- Sequence object with configurable next value, increment, and padding
- Formatted output supports prefix, suffix, and zero-padding patterns
- next() atomically increments and returns the formatted value
- Concurrent calls never return duplicate values
- Internal sequences (FLAG_INTERNAL) are hidden from admin UI
- Sequence CRUD works via admin settings"
